name,mean_reward,mean_performance,mean_cost,model_counts,utility_rmse
oracle,0.7543016672134399,0.8079944849014282,0.007595250383019447,"{""Model_A"": 81, ""Model_B"": 207, ""Model_C"": 1152, ""Model_D"": 1087, ""Model_E"": 680, ""Model_F"": 405, ""Model_G"": 208, ""Model_H"": 362, ""Model_I"": 227, ""Model_J"": 601, ""Model_K"": 5172}",
tfidf_ridge,0.5258389115333557,0.548025906085968,0.001938828150741756,"{""Model_A"": 11, ""Model_B"": 56, ""Model_C"": 603, ""Model_D"": 1714, ""Model_E"": 165, ""Model_F"": 425, ""Model_G"": 105, ""Model_H"": 141, ""Model_I"": 349, ""Model_J"": 834, ""Model_K"": 5779}",0.46443132328489295
rank_blend_oof,0.5219858288764954,0.5467982888221741,0.002172760432586074,"{""Model_A"": 19, ""Model_B"": 112, ""Model_C"": 861, ""Model_D"": 2211, ""Model_E"": 216, ""Model_F"": 586, ""Model_G"": 121, ""Model_H"": 180, ""Model_I"": 353, ""Model_J"": 917, ""Model_K"": 4606}",
always_Model_K,0.519579291343689,0.5324101448059082,0.0011180797591805458,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 10182}",
qwen3_embedding_lgbm,0.5079542994499207,0.5390394926071167,0.002807584824040532,"{""Model_A"": 97, ""Model_B"": 235, ""Model_C"": 734, ""Model_D"": 1567, ""Model_E"": 367, ""Model_F"": 615, ""Model_G"": 293, ""Model_H"": 334, ""Model_I"": 598, ""Model_J"": 1042, ""Model_K"": 4300}",0.44700134998689456
always_Model_D,0.41761353611946106,0.43488508462905884,0.0015243212692439556,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 10182, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_J,0.40909165143966675,0.43567079305648804,0.0025019359309226274,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 10182, ""Model_K"": 0}",
always_Model_C,0.39687129855155945,0.4082203805446625,0.0009960908209905028,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 10182, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_E,0.3480490446090698,0.42496562004089355,0.008537943474948406,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 10182, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_I,0.328048437833786,0.3662836253643036,0.003475368954241276,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 10182, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_B,0.30375856161117554,0.47200942039489746,0.015069945715367794,"{""Model_A"": 0, ""Model_B"": 10182, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_G,0.29912322759628296,0.42339423298835754,0.014234713278710842,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 10182, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_H,0.2833324074745178,0.5832841992378235,0.03708495572209358,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 10182, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_A,0.25765520334243774,0.38302886486053467,0.014354618266224861,"{""Model_A"": 10182, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 0, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
always_Model_F,0.1736679971218109,0.5890787839889526,0.06568580865859985,"{""Model_A"": 0, ""Model_B"": 0, ""Model_C"": 0, ""Model_D"": 0, ""Model_E"": 0, ""Model_F"": 10182, ""Model_G"": 0, ""Model_H"": 0, ""Model_I"": 0, ""Model_J"": 0, ""Model_K"": 0}",
